,工业增加值同比增速三月平均,10年期国债到期收益率,CPI同比,PPI同比,社融同比增速
2012-12-31,10.0,0.279814203368963,2.5,-1.94,22.87545016603527
2013-01-31,12.700000000000001,0.2773617351750153,2.0305,-1.64,43.86122177954847
2013-02-28,10.066666666666666,0.2781099646800345,3.2198,-1.63,39.500012053711345
2013-03-31,9.6,0.28254972875226037,2.0696,-1.92,44.39268419578182
2013-04-30,6.800000000000002,0.2914262400186513,2.3861,-2.62,55.82345594256364
2013-05-31,9.133333333333335,0.2907061251780575,2.0981,-2.87,55.44341727240547
2013-06-30,9.133333333333335,0.2846975088967971,2.6684,-2.7,41.27143591420961
2013-07-31,9.266666666666667,0.2687160745955823,2.6741,-2.27,34.0996742427079
2013-08-31,9.666666666666668,0.2478069088566189,2.5666,-1.62,34.86903873023384
2013-09-30,10.1,0.2502878310056565,3.0519,-1.34,22.13737351816185
2013-10-31,10.3,0.2392001148160551,3.2058,-1.51,15.338143653656932
2013-11-30,10.166666666666668,0.22929468953499035,3.018,-1.42,14.81173828961544
2013-12-31,10.000000000000002,0.219693308141834,2.4987,-1.36,9.855866829070248
2014-01-31,9.4,0.22212843466092094,2.4861,-1.64,0.2319355657612432
2014-02-28,9.000000000000002,0.22585599421808655,1.9511,-2.0,-0.6952845078860403
2014-03-31,8.700000000000001,0.22220247089147632,2.3848,-2.3019,-6.970736763915141
2014-04-30,8.766666666666667,0.23254732338030787,1.8014,-2.0042,-12.175339324482849
2014-05-31,8.766666666666667,0.24561575870707866,2.4773,-1.4464,-11.24515432033385
2014-06-30,8.9,0.24623264059883776,2.3361,-1.1092,-2.485653331569282
2014-07-31,9.000000000000002,0.234439104442621,2.2852,-0.8688,-4.262020438934499
2014-08-31,8.366666666666667,0.2360661929605061,1.9909,-1.2038,-9.461948299677692
2014-09-30,7.966666666666669,0.2511048613901165,1.6275,-1.7996,-9.819871844703322
2014-10-31,7.533333333333335,0.2662477701749248,1.6011,-2.2428,-8.6798268811884
2014-11-30,7.6333333333333355,0.28369599137564183,1.4393,-2.6928,-9.720887642862797
2014-12-31,7.600000000000001,0.2760981805129904,1.5056,-3.3152,-5.217476670054511
2015-01-31,8.233333333333334,0.2855592678260373,0.7638,-4.3202,-8.680911320124796
2015-02-28,7.033333333333334,0.297601333253973,1.4311,-4.7976,-5.51478905511309
2015-03-31,6.266666666666668,0.2741002658772579,1.3758,-4.5603,-8.007889311294115
2015-04-30,5.033333333333334,0.29848073306868045,1.5091,-4.5725,-9.516959601576291
2015-05-31,5.866666666666667,0.2781331701618735,1.2308,-4.607,-11.637648125827893
2015-06-30,6.266666666666668,0.27796308650211254,1.3909,-4.8135,-17.010944531126338
2015-07-31,6.300000000000001,0.2877532228360958,1.6473,-5.3692,-11.586112763797995
2015-08-31,6.300000000000001,0.3007337904486948,1.9554,-5.9227,-7.3128942811822695
2015-09-30,5.9333333333333345,0.3090043878623076,1.5956,-5.945,-4.370447450572323
2015-10-31,5.800000000000001,0.32679738562091504,1.2674,-5.9,-4.031861295003458
2015-11-30,5.833333333333335,0.3289040915668991,1.4856,-5.9,-4.274355121462559
2015-12-31,5.900000000000001,0.35445909542038845,1.6,-5.9,-6.1358776114492475
2016-01-31,5.988574666666668,0.3518772652098948,1.8,-5.3,6.088436446153356
2016-02-29,5.557553666666668,0.3508525717493509,2.3,-4.9,0.07551386262616422
2016-03-31,5.857553666666668,0.3518772652098948,2.301391,-4.3,13.033818490377836
2016-04-30,5.9023123333333345,0.345865181752153,2.327865,-3.4,14.712837160835246
2016-05-31,6.266666666666668,0.33499715252420353,2.038999,-2.8,12.164899723141342
