,经济,流动性,CPI,PPI,信用
沪深300,1.3498878967865573,1.4651024268634993,-69.61185532401352,-8.602621856978612,-6.565647419961581
中证500,4.155055708211526,3.4137126114741503,-73.2987024047256,-11.325712549248177,-8.051923009578148
中证1000,4.375907514094686,3.498719938408018,-69.13659310397314,-12.35282474144178,-8.758297193345538
标普500,13.673370585237103,10.210073140302287,-9.46808669072116,6.206764246451832,10.101172937772528
信用债,-11.915977127325409,-8.685336316459676,-20.569576152130093,-11.648815049042058,-16.018464013144317
利率债,-10.639645907484297,-7.682585043363315,-22.852118702173275,-12.023826366441389,-17.176223711525292
黄金,-16.131741703155903,-11.035945764472688,28.997906943261995,1.2161380625738485,1.7818628449363034
商品,-4.792936303542695,-2.2295656496656457,48.29909880341117,11.29783578018829,6.836947993925272
