,PC1,PC2,PC3,PC4,PC5,PC6
2012-12-31,-1.130386448342296,0.44782187335683765,0.5883407789720403,-0.11596282974120616,-0.17849221149819805,-0.1534660495438816
2013-01-31,-1.050321257498563,0.7815614891573394,0.5109930143228336,-0.9154741493037785,-0.4091793586609481,-0.24784216722565736
2013-02-28,-0.8268860049332828,0.29393782032161087,-0.4647951548134739,-0.49542644666981894,-0.355421895656016,-0.29701212185109405
2013-03-31,-0.5772221254665613,0.29795601333087596,-0.44038477175317575,0.030367310477604367,-0.19692745896465377,-0.07088404654180673
2013-04-30,-0.6950776930121154,0.2302206140321224,-1.1140311252396229,-0.0417398298881772,0.3213092326479008,-0.08195006357363468
2013-05-31,-0.858836114612187,1.5768866635685075,-0.5394162042402484,-0.37102146239830336,0.7660986501668731,0.10702253967635043
2013-06-30,-0.9363860849019643,1.4558847877722334,-1.7383931035424394,0.15786689053415512,0.11020187252572028,-0.07434055642206436
2013-07-31,-0.31583370501618774,2.167329575185259,-1.6664822760587892,0.8997277293837741,0.37917777730771585,0.39366935275078824
2013-08-31,-0.0010311566791410091,1.8441830108627408,-1.2622466518196027,0.6846207282429599,-0.3254100778064422,0.14363882748816134
2013-09-30,0.051285424224555405,2.05583813081056,-1.27008526054407,-0.16975193421878607,-0.5223412850065671,0.10638893934749409
2013-10-31,-0.386762746827501,2.7270708007814557,-1.0238724769982837,-0.09650394373618945,0.08836946065691471,0.17537948797084194
2013-11-30,0.11876447140692817,3.67202701456149,-0.502768215599158,-0.7786897295867334,-0.2500637211301267,0.4315360306055308
2013-12-31,-1.0047138549760406,3.47486295327684,-1.0110596423896332,-0.6630868557930345,0.1166109183475401,0.5174152125487713
2014-01-31,-0.7446321200247823,2.3238065994572765,-1.584589330754603,-0.2542355072794546,-0.5672154098177564,0.6605974540605991
2014-02-28,-0.7438663776042608,2.0062641406265653,-1.19138456385744,-0.4855001416606113,0.10421714318714329,0.8099743236627596
