,经济,流动性,CPI,PPI,信用
沪深300,0.5477072058041391,0.2020493599240801,-0.22734530833881259,-0.39410406274496834,0.47903051098179406
中证500,0.575624570667577,0.23783160196378667,-0.1269834006445265,-0.7024976809762925,0.3477170612490414
中证1000,0.424294306713688,0.18472563570004003,-0.05012596926368986,-0.866566571902864,0.300537834023871
标普500,1.508759533788265,0.09917010215088232,-1.3049682516546897,0.7015737868692573,-0.8615115377652272
信用债,-1.1108636879469365,-0.5968435299655191,-0.15633907111897197,-0.8648327432177653,-0.48851490054847413
利率债,-0.976716752158591,-0.18766572468153636,0.5595154524447351,-0.6905079401208346,-0.6984896561526394
黄金,-0.9065602611515673,-1.084033459765646,-1.2809138502249084,-0.44003763459364914,0.842787663798676
商品,0.17967426101023506,0.15837896387954742,0.7341111904643944,1.1308548575445643,0.09599299616827871
