,PC1,PC2,PC3,PC4,PC5,PC6
2012-12-31,-0.7297432576058098,0.9249407344412164,-0.05730616406419213,-0.5905651602751936,0.013074730244864573,0.2736662711846485
2013-01-31,-0.48253563328207344,1.2505045090331115,-0.7193611930788454,-0.7883831488759832,0.41054191017351754,0.16720122186448166
2013-02-28,-0.592732013607166,0.5784526018465589,-0.9912865589083524,0.03491175981079331,0.11667938122764267,0.23667552519604756
2013-03-29,-0.3365862317602407,0.4965464685538347,-0.572413948684328,0.19769345111982448,-0.20270542587739251,0.06423169243383653
2013-04-26,-0.6400367152819962,0.16279045792399585,-0.7467826965214331,0.9407215665947717,0.05187234550864719,0.04031204439296242
2013-05-31,-0.31646802647184713,1.4267543030221903,-0.45562778394322767,0.6657259181897677,0.3678283770089141,-0.29946711838813483
2013-06-28,-0.6672900534085004,1.4095087150679315,-1.1216902048783992,1.4984821451080557,-0.4500456505001536,-0.2111923773892528
2013-07-31,0.2278609907097805,1.8885193271699046,-0.5119108582283737,1.837679858421555,-1.063195202870071,-0.5644540550060705
2013-08-30,0.5855292204621482,1.8268341322013861,-0.7796338333570196,1.1011060318473376,-1.1254409187388674,-0.24226622601459308
2013-09-30,0.7540287072722052,2.0535866235841826,-1.4786372208540164,0.8325623033724222,-0.6107368622297645,-0.37027343326742773
2013-10-31,0.45514419226881164,2.648373855665482,-1.0411227860999719,0.9776909804509575,-0.4299535587779095,-0.3338463345474277
2013-11-29,1.3250189408120558,3.5715406801566356,-1.3936280662748504,0.3886600566071887,-0.2229201006884742,-0.7272137329533606
2013-12-31,-0.06644959635989132,3.4421415648717346,-1.420693717404329,1.0037076163167207,-0.1707592645219295,-0.8111886127605343
2014-01-30,-0.19081737019404824,2.4077029790770554,-1.7727104017292714,1.2227210548634162,-0.7507433461344337,-0.8829272738577169
2014-02-28,-0.18652649546570735,1.8787210794349058,-1.3138753588649243,1.0874424923724353,-0.17872746529130842,-0.948507046137332
2014-03-31,-0.2835929385203672,2.0012754219950883,-1.613917781570916,0.572155615196035,-0.10592130951758127,-0.6826142845414286
2014-04-30,-0.5799789993666471,2.211458501772434,-1.3030431828732665,-0.20638127983807036,-0.028486135779714376,-0.748997440876618
2014-05-30,-1.183798915226911,1.6163773313368741,-1.209228339842023,-0.17712534364718074,0.40312956035953085,-0.6548732377337352
2014-06-30,0.2132822186781584,1.2220752705338078,-0.1545239555795517,-0.4888813291900249,0.4211052373983314,-0.8219627164619135
2014-07-31,0.6795417889824983,0.9538332520945978,-0.7786537086674621,-0.007862908798050777,-0.18335952620242513,-0.232182506052139
2014-08-29,1.0370642916656714,0.4460883006063624,-0.5862429630907805,1.2371954049129956,0.1349119080486727,-0.4437514053449258
2014-09-30,1.6329077991627408,-0.13051376561243502,-0.5585016944797118,1.6460970657888987,-0.4853264580561915,-0.5480054880879447
2014-10-31,2.114157289206807,-0.9679055745739995,-1.1086493637656079,1.0087722032198554,0.5191115429587507,-0.6432875664852447
2014-11-28,2.41146612750211,-1.9322483657268938,-0.747262217252239,0.778393737032373,1.0956484385209266,-0.3480138724466371
2014-12-31,3.1624012688788685,-2.020445275193489,-0.31620238006384677,0.2938262863661132,0.9586567755382089,0.7881712113859068
