,PC1,PC2,PC3,PC4,PC5,PC6
沪深300,0.49121626212875297,0.15600338866802677,0.16381175554978208,-0.22908223978556824,0.04813953243314334,0.746059035211301
中证500,0.544790011611498,0.1598972777039745,-0.011926546468737467,-0.1912528465436149,-0.03731392122027093,-0.1404305706350204
中证1000,0.5250490592051782,0.10803363544289256,-0.0935410680010276,-0.1878189900048347,-0.0990340521465495,-0.5951971356431975
标普500,0.07835671341571313,0.4265654438068596,0.4147180972373048,0.4416107064436664,0.647164202018183,-0.13241714138715222
信用债,0.18988113651487315,-0.5881132662548781,0.09902195666951313,0.05216565188520928,0.3339832429387693,-0.13448388375274858
利率债,0.21795466046290818,-0.5443274103255353,-0.2587638838232888,0.08688495604679011,0.37637409070738903,0.13358236914726523
黄金,-0.10667755962868639,-0.2833671639785485,0.8140448546550065,-0.38591978237531704,-0.11745032299559366,-0.11120692057841225
商品,-0.2918132214431547,0.18439079660294783,-0.22988978617994907,-0.7221103501537753,0.548328521737113,-0.059867333988915916
