,PC1,PC2,PC3,PC4,PC5,PC6
沪深300,0.44919579497040896,0.17524584938620263,0.35935776500697475,0.09595802124716951,0.04029281636643601,-0.7307434971593383
中证500,0.48636585056268933,0.23184112262943843,0.2112580215825903,-0.07194615444224288,-0.14545374284843615,0.11545873629724862
中证1000,0.4756880010106951,0.21191467736493821,0.1284892647760726,-0.1394238787878595,-0.2391173442102636,0.5859501926123272
标普500,-0.08924149684357467,0.547839723406873,0.07255922174104634,-0.14916739593789685,0.8014908135837474,0.14431687120554104
信用债,0.2986571665069068,-0.48029400392325994,-0.07225512811353973,-0.18645797169380152,0.3691156672093418,-0.038545675520867344
利率债,0.30931763941027673,-0.4503763466081947,-0.12746056163838856,-0.4029120596429565,0.24408220607418593,0.04049943021761037
黄金,-0.09840754305108837,-0.37002152439519426,0.7213137698399721,0.44823547293359195,0.20579225119966893,0.2781951764792623
商品,-0.3645143734302794,-0.008079653526017028,0.5125399109837295,-0.7388546114238296,-0.19870108032938838,-0.08944106925436172
