,000300.SH,000905.SH,000852.SH,SPX.GI,CBA08202.CS,931552.CSI,AU9999.SGE,M.DCE
2011-01-31,-1.6543696322014134,-6.600663274938256,-6.573336915230287,2.264559015298473,,0.39280789607374356,-5.205879425329307,1.2790697674418605
2011-02-28,5.299872452793886,10.504504582659191,11.016672746256084,3.1956582589494076,,0.33072787240771007,4.70399105333055,-2.2388059701492535
2011-03-31,-0.5022597211534086,-1.8606894949136477,-1.1614461805857457,-0.10473018791158362,,0.46383442462014646,0.8746745009013835,0.11743981209630064
2011-04-29,-0.9482553218949086,-3.2704570552527623,-4.874769946906399,2.8495357625034856,,0.34425259534183184,6.104391052195531,-2.756598240469208
2011-05-31,-5.987584892269071,-8.116619315068895,-7.277080376294453,-1.350092768460176,,0.1366925757169568,0.04368174726988654,0.8745476477683957
2011-06-30,1.4170316995584908,3.038875173369071,4.51713572729906,-1.8257508177222714,,-0.2640900047286343,-1.8617270090747582,-0.6278026905829596
2011-07-29,-2.3655681552017582,1.069763013470082,1.870771476445876,-2.147443663678228,,-0.16370418742788218,6.011553354916523,1.5342960288808665
2011-08-31,-4.216005025438429,-4.273300031112804,-3.318077042489087,-5.679109790447878,,-0.03852908497902208,12.884810807579658,1.4222222222222223
2011-09-30,-9.323705131699855,-12.948991747729044,-13.009283503729218,-7.176201297902196,,0.7565367825673741,-10.267218069031339,-11.481156879929886
2011-10-31,4.414587555121319,3.6956275986380627,4.208629310660794,10.772303830584562,,0.9359014278724098,3.667662456742298,-1.9801980198019802
2011-11-30,-6.44776272239117,-4.486215551380446,-4.276167124966735,-0.5058645176733378,,1.032990472161277,-0.02557835502757683,-6.666666666666667
2011-12-30,-6.971112662203738,-14.481031387387555,-16.99828174774232,0.8532751652017501,,0.544364864039637,-9.502518535287788,6.457431457431458
2012-01-31,5.05247380146665,0.8485126768755125,-1.4354132049797852,4.358301526717567,0.3455139144788122,0.2004286222484497,11.378074092710234,-0.27109454422229756
2012-02-29,6.893874834635949,12.191553543579058,13.264165205075319,4.058944994323421,-1.722318144432966,-0.05368709085240564,2.3179556761646283,6.625891946992865
2012-03-30,-6.804641965147685,-7.556199109125606,-7.724601675969833,3.133237654501775,-0.40395586982224785,0.5085685571208254,-6.402009772796288,3.3779477374123643
2012-04-27,6.976172950496151,7.251754244252595,7.790876804704983,-0.7497497284287169,-0.9635789143867535,0.17498642346713833,-0.6972964987442795,3.1134401972872996
