,经济,流动性,CPI,PPI,信用
PC1,0.056574626076715435,0.06092476300020741,-0.021517730265207445,-0.2032861205199978,0.0139594525787239
PC2,0.3472088156618598,0.32173614898046127,-0.0345727321008091,0.2300943703318632,0.031626391581587344
PC3,0.010456422482043632,-0.666781180928581,-0.4414532933474824,-0.08408126776001312,0.1385293208942475
PC4,0.16471252223370506,0.157476492794841,-0.13116989186437958,-0.026113417718794402,-0.37124649138805066
PC5,0.20927019605655733,-0.011017068272394726,-0.048688111622083766,0.42937711396302664,-0.47789358422519207
PC6,-0.019814092706688546,0.48154727108974366,0.2191905735340315,0.3682666825441386,0.13114999186212045
