宏观变量,暴露最高资产,最高暴露度,暴露最低资产,最低暴露度
经济,"标普500, 沪深300","0.0001, 0.0000","信用债, 利率债","-0.0001, -0.0004"
流动性,"商品, 中证500","0.0000, 0.0000","信用债, 利率债","-0.0001, -0.0001"
CPI,"利率债, 商品","0.0002, 0.0000","黄金, 标普500","-0.0000, -0.0001"
PPI,"商品, 标普500","0.0000, 0.0000","信用债, 利率债","-0.0001, -0.0003"
信用,"黄金, 沪深300","0.0000, 0.0000","信用债, 利率债","-0.0001, -0.0003"
