,M0061675,M0000545,S0059749,M1001654,M0061676,M0000612,M0061677,M0001227,M5206730
2012-08-31,9.05,8.9,3.3928,3.4009,2.03,2.0,-3.12,-3.48,12475.0
2012-09-28,9.05,8.9,3.3928,3.4604,2.03,2.0,-3.12,-3.48,12475.0
2012-09-29,9.05,8.9,3.4574,3.4604,2.03,2.0,-3.12,-3.48,12475.0
2012-09-30,8.95,9.2,3.4574,3.4604,1.91,1.9,-3.51,-3.55,16462.0
2012-10-31,9.39,9.6,3.5739,3.5804,1.9,1.7,-2.75,-2.76,12906.0
2012-11-30,9.83,10.1,3.5332,3.5367,2.1,2.0,-2.03,-2.2,11225.0
2012-12-31,10.13,10.3,3.5738,3.575,2.36,2.5,-1.85,-1.94,16282.0
2013-01-31,10.13,17.7,3.6054,3.6024,1.92,2.0305,-1.67,-1.64,25446.0
2013-02-28,10.41,2.2,3.5957,3.5996,2.93,3.2198,-1.62,-1.63,10705.0
2013-03-29,10.41,2.2,3.5392,3.5505,2.93,3.2198,-1.62,-1.63,10705.0
2013-03-31,10.03,8.9,3.5392,3.5505,2.41,2.0696,-1.85,-1.92,25503.0
2013-04-26,10.03,8.9,3.5392,3.4331,2.41,2.0696,-1.85,-1.92,25503.0
2013-04-28,10.03,8.9,3.4314,3.4331,2.41,2.0696,-1.85,-1.92,25503.0
2013-04-30,9.67,9.3,3.4314,3.4331,2.27,2.3861,-2.25,-2.62,17629.0
2013-05-31,9.27,9.2,3.4399,3.4301,2.44,2.0981,-2.47,-2.87,11871.0
2013-06-28,9.27,9.2,3.5125,3.5119,2.44,2.0981,-2.47,-2.87,11871.0
2013-06-30,9.16,8.9,3.5125,3.5119,2.47,2.6684,-2.61,-2.7,10375.0
2013-07-31,8.95,9.7,3.7214,3.7248,2.75,2.6741,-2.22,-2.27,8191.0
2013-08-30,8.95,9.7,4.0354,4.0352,2.75,2.6741,-2.22,-2.27,8191.0
2013-08-31,9.88,10.4,4.0354,4.0352,2.6,2.5666,-1.75,-1.62,15841.0
2013-09-30,10.09,10.2,3.9954,4.005,2.88,3.0519,-1.43,-1.34,14120.0
2013-10-31,9.99,10.3,4.1806,4.1798,3.29,3.2058,-1.39,-1.51,8645.0
2013-11-29,9.99,10.3,4.3612,4.386,3.29,3.2058,-1.39,-1.51,8645.0
2013-11-30,10.0,10.0,4.3612,4.386,3.17,3.018,-1.44,-1.42,12310.0
2013-12-31,9.77,9.7,4.5518,4.5609,2.63,2.4987,-1.28,-1.36,12532.0
2014-01-30,9.77,9.7,4.5019,4.51,2.63,2.4987,-1.28,-1.36,12532.0
2014-01-31,9.77,8.5,4.5019,4.51,2.36,2.4861,-1.67,-1.64,26004.0
2014-02-28,9.77,8.8,4.4276,4.3901,2.04,1.9511,-1.89,-2.0,9370.0
2014-03-31,8.94,8.8,4.5004,4.4803,2.45,2.3848,-2.1,-2.3019,20934.0
2014-04-30,8.85,8.7,4.3002,4.3399,2.09,1.8014,-1.85,-2.0042,15259.0
2014-05-30,8.85,8.7,4.0714,4.1189,2.09,1.8014,-1.85,-2.0042,15259.0
2014-05-31,8.8,8.8,4.0714,4.1189,2.44,2.4773,-1.6,-1.4464,14013.0
2014-06-30,8.95,9.2,4.0612,4.0595,2.4,2.3361,-0.98,-1.1092,19673.0
2014-07-31,9.02,9.0,4.2655,4.2797,2.32,2.2852,-0.86,-0.8688,2737.0
2014-08-29,9.02,9.0,4.2361,4.2351,2.32,2.2852,-0.86,-0.8688,2737.0
2014-08-31,8.73,6.9,4.2361,4.2351,2.2,1.9909,-1.13,-1.2038,9577.0
2014-09-30,7.64,8.0,3.9824,3.9801,1.74,1.6275,-1.51,-1.7996,11355.0
2014-10-31,7.98,7.7,3.7559,3.7601,1.56,1.6011,-2.03,-2.2428,6807.0
2014-11-28,7.98,7.7,3.5249,3.5182,1.56,1.6011,-2.03,-2.2428,6807.0
2014-11-30,7.47,7.2,3.5249,3.5182,1.65,1.4393,-2.43,-2.6928,11459.0
2014-12-31,7.36,7.9,3.6219,3.6176,1.54,1.5056,-3.04,-3.3152,16945.0
2015-01-30,7.36,7.9,3.5019,3.4707,1.54,1.5056,-3.04,-3.3152,16945.0
2015-01-31,7.36,9.6,3.5019,3.4707,1.02,0.7638,-3.61,-4.3202,20516.0
2015-02-27,7.36,9.6,3.5019,3.3365,1.02,0.7638,-3.61,-4.3202,20516.0
2015-02-28,7.62,3.6,3.3602,3.3365,0.99,1.4311,-4.35,-4.7976,13609.0
2015-03-31,6.82,5.6,3.6483,3.63,1.36,1.3758,-4.68,-4.5603,12433.0
2015-04-30,5.95,5.9,3.3503,3.3673,1.64,1.5091,-4.35,-4.5725,10582.0
2015-05-29,5.95,5.9,3.5954,3.5969,1.64,1.5091,-4.35,-4.5725,10582.0
2015-05-31,6.02,6.1,3.5954,3.5969,1.3,1.2308,-4.46,-4.607,12397.0
2015-06-30,6.01,6.8,3.5976,3.6054,1.27,1.3909,-4.59,-4.8135,18384.0
2015-07-31,6.54,6.0,3.4752,3.4505,1.54,1.6473,-5.01,-5.3692,7511.0
2015-08-31,6.48,6.1,3.3252,3.3536,1.86,1.9554,-5.46,-5.9227,11097.0
2015-09-30,6.01,5.7,3.2362,3.2475,1.84,1.5956,-5.92,-5.945,13571.0
2015-10-30,6.01,5.7,3.06,3.0418,1.84,1.5956,-5.92,-5.945,13571.0
2015-10-31,5.66,5.6,3.06,3.0418,1.42,1.2674,-5.85,-5.9,5593.0
2015-11-30,5.62,6.2,3.0404,3.0557,1.38,1.4856,-5.86,-5.9,10255.0
2015-12-31,6.09,5.9,2.8212,2.8341,1.53,1.6,-5.68,-5.9,18114.0
2016-01-29,6.09,5.9,2.8419,2.8382,1.53,1.6,-5.68,-5.9,18114.0
2016-01-31,6.09,5.865724,2.8419,2.8382,1.9,1.8,-5.31,-5.3,34758.0
2016-02-29,5.53,4.906937,2.8502,2.846,1.87,2.3,-4.82,-4.9,8312.0
2016-03-31,5.92,6.8,2.8419,2.8306,2.44,2.301391,-4.63,-4.3,23931.0
2016-04-29,5.92,6.8,2.8913,2.8883,2.44,2.301391,-4.63,-4.3,23931.0
2016-04-30,6.52,6.0,2.8913,2.8883,2.32,2.327865,-3.72,-3.4,7809.0
2016-05-31,5.95,6.0,2.9851,2.9848,2.2,2.038999,-3.34,-2.8,6770.0
2016-06-30,5.9,6.2,2.8411,2.8555,1.83,1.879503,-2.53,-2.6,16479.0
2016-07-29,5.9,6.2,2.7768,2.7702,1.83,1.879503,-2.53,-2.6,16479.0
2016-07-31,6.24,6.0,2.7768,2.7702,1.46,1.765113,-1.98,-1.7,4791.0
2016-08-31,6.7,6.3,2.7425,2.7426,1.6,1.339773,-0.88,-0.8,14605.0
2016-09-30,6.25,6.1,2.7258,2.7377,1.73,1.920226,-0.43,0.1,17115.0
2016-10-31,6.2,6.1,2.7425,2.7232,2.11,2.095947,0.83,1.2,8865.0
2016-11-30,6.01,6.2,2.9502,2.9496,2.18,2.252258,2.22,3.3,18328.0
2016-12-30,6.01,6.2,2.9502,3.0161,2.18,2.252258,2.22,3.3,18328.0
2016-12-31,6.08,6.0,3.0115,3.0161,2.2,2.076545,4.47,5.5,16397.0
2017-01-26,6.08,6.0,3.3465,3.3447,2.2,2.076545,4.47,5.5,16397.0
2017-01-31,6.08,2.93725,3.3465,3.3447,2.52,2.549055,6.45,6.9,37720.076979
2017-02-28,6.3,10.322581,3.2921,3.2941,1.58,0.8,7.69,7.8,11055.322109
2017-03-31,6.19,7.6,3.2828,3.2795,0.99,0.9,7.5,7.6,25471.639558
2017-04-28,6.19,7.6,3.4668,3.4608,0.99,0.9,7.5,7.6,25471.639558
2017-04-30,6.97,6.5,3.4668,3.4608,1.1,1.2,6.74,6.4,19558.92377
2017-05-31,6.32,6.5,3.6102,3.6208,1.58,1.5,5.62,5.5,17811.732937
2017-06-30,6.5,7.6,3.5683,3.5689,1.62,1.5,5.53,5.5,25885.910953
2017-07-31,7.03,6.4,3.626,3.6229,1.5,1.4,5.54,5.5,21188.106568
2017-08-31,6.53,6.0,3.6265,3.6228,1.64,1.8,5.76,6.3,20485.50771
2017-09-29,6.53,6.0,3.6265,3.614,1.64,1.8,5.76,6.3,20485.50771
2017-09-30,6.54,6.6,3.6136,3.614,1.55,1.6,6.32,6.9,25438.606938
2017-10-31,6.22,6.2,3.8917,3.8911,1.82,1.9,6.46,6.9,15861.15144
2017-11-30,6.06,6.1,3.8901,3.8805,1.83,1.7,5.8,5.8,22955.981254
2017-12-29,6.06,6.1,3.8901,3.8848,1.83,1.7,5.8,5.8,22955.981254
2017-12-31,6.08,6.2,3.8807,3.8848,1.84,1.8,4.83,4.9,18102.88255
2018-01-31,6.08,15.434501,3.914,3.9139,1.45,1.5,4.42,4.3,31417.220554
2018-02-28,6.18,-2.119883,3.8202,3.8151,2.53,2.9,3.73,3.7,12064.387925
2018-03-30,6.18,-2.119883,3.7407,3.7413,2.53,2.9,3.73,3.7,12064.387925
2018-03-31,6.21,6.0,3.7407,3.7413,2.51,2.1,3.1,3.1,17091.476699
2018-04-27,6.21,6.0,3.7407,3.6439,2.51,2.1,3.1,3.1,17091.476699
2018-04-28,6.21,6.0,3.6217,3.6439,2.51,2.1,3.1,3.1,17091.476699
2018-04-30,6.44,7.0,3.6217,3.6439,1.96,1.8,3.5,3.4,22242.940549
2018-05-31,6.95,6.8,3.6129,3.6162,1.78,1.8,3.95,4.1,11233.624451
2018-06-29,6.95,6.8,3.4756,3.4885,1.78,1.8,3.95,4.1,11233.624451
2018-06-30,6.49,6.0,3.4756,3.4885,1.92,1.9,4.54,4.7,20372.964614
2018-07-31,6.34,6.0,3.4812,3.4914,1.91,2.1,4.41,4.6,18381.941957
2018-08-31,5.98,6.1,3.5751,3.5727,2.2,2.3,3.99,4.1,24078.248888
2018-09-28,5.98,6.1,3.5751,3.6208,2.2,2.3,3.99,4.1,24078.248888
2018-09-30,6.04,5.8,3.6103,3.6208,2.47,2.5,3.5,3.6,23061.250118
2018-10-31,5.82,5.9,3.5086,3.5159,2.45,2.5,3.27,3.3,9537.802987
2018-11-30,5.9,5.4,3.355,3.3698,2.38,2.2,2.67,2.7,16127.165255
2018-12-28,5.9,5.4,3.355,3.2426,2.38,2.2,2.67,2.7,16127.165255
2018-12-31,5.49,5.7,3.2265,3.2426,2.04,1.9,1.42,0.9,19311.174083
2019-01-31,5.49,6.797753,3.1037,3.1165,1.83,1.7,0.2,0.1,46791.139269
2019-02-28,5.56,3.360717,3.1731,3.1656,1.35,1.5,0.23,0.1,9665.126685
2019-03-29,5.56,3.360717,3.0683,3.0633,1.35,1.5,0.23,0.1,9665.126685
2019-03-31,5.98,8.5,3.0683,3.0633,2.33,2.3,0.46,0.4,29602.336534
2019-04-30,6.54,5.4,3.3869,3.385,2.55,2.5,0.63,0.9,16709.538169
2019-05-31,5.54,5.0,3.2751,3.2697,2.67,2.7,0.59,0.6,17123.729278
2019-06-28,5.54,5.0,3.2254,3.2303,2.67,2.7,0.59,0.6,17123.729278
2019-06-30,5.31,6.3,3.2254,3.2303,2.7,2.7,0.14,0.0,26243.302006
2019-07-31,5.8,4.8,3.1552,3.1562,2.67,2.8,-0.13,-0.3,12872.110273
